Starting GA with 100 individuals for 100 generations...
Gen 1/100: Best fitness = 27509.9, Elective delay = 14590
Gen 48/100: Best fitness = 27509.9, Elective delay = 14590
Gen 49/100: Best fitness = 27509.9, Elective delay = 14590
Gen 50/100: Best fitness = 27509.9, Elective delay = 14590
Gen 51/100: Best fitness = 27509.9, Elective delay = 14590
Gen 52/100: Best fitness = 27509.9, Elective delay = 14590
Gen 53/100: Best fitness = 27509.9, Elective delay = 14590
Gen 54/100: Best fitness = 27509.9, Elective delay = 14590
Gen 55/100: Best fitness = 27509.9, Elective delay = 14590
Gen 56/100: Best fitness = 27509.9, Elective delay = 14590
Gen 57/100: Best fitness = 27509.9, Elective delay = 14590
Gen 58/100: Best fitness = 27509.9, Elective delay = 14590
Gen 59/100: Best fitness = 27509.9, Elective delay = 14590
Gen 60/100: Best fitness = 27509.9, Elective delay = 14590
Gen 61/100: Best fitness = 27509.9, Elective delay = 14590
Gen 62/100: Best fitness = 27509.9, Elective delay = 14590
Gen 63/100: Best fitness = 27509.9, Elective delay = 14590
Gen 64/100: Best fitness = 27509.9, Elective delay = 14590
Gen 65/100: Best fitness = 27509.9, Elective delay = 14590
Gen 66/100: Best fitness = 27509.9, Elective delay = 14590
Gen 67/100: Best fitness = 27509.9, Elective delay = 14590
Gen 68/100: Best fitness = 27509.9, Elective delay = 14590
Gen 69/100: Best fitness = 27509.9, Elective delay = 14590
Gen 70/100: Best fitness = 27509.9, Elective delay = 14590
Gen 71/100: Best fitness = 27509.9, Elective delay = 14590
Gen 72/100: Best fitness = 27509.9, Elective delay = 14590
Gen 73/100: Best fitness = 27509.9, Elective delay = 14590
Gen 74/100: Best fitness = 27509.9, Elective delay = 14590
Gen 75/100: Best fitness = 27509.9, Elective delay = 14590
Gen 76/100: Best fitness = 27509.9, Elective delay = 14590
Gen 77/100: Best fitness = 27509.9, Elective delay = 14590
Gen 78/100: Best fitness = 27509.9, Elective delay = 14590
Gen 79/100: Best fitness = 27509.9, Elective delay = 14590
Gen 80/100: Best fitness = 27509.9, Elective delay = 14590
Gen 81/100: Best fitness = 27509.9, Elective delay = 14590
Gen 82/100: Best fitness = 27509.9, Elective delay = 14590
Gen 83/100: Best fitness = 27509.9, Elective delay = 14590
Gen 84/100: Best fitness = 27509.9, Elective delay = 14590
Gen 85/100: Best fitness = 27509.9, Elective delay = 14590
Gen 86/100: Best fitness = 27509.9, Elective delay = 14590
Gen 87/100: Best fitness = 27509.9, Elective delay = 14590
Gen 88/100: Best fitness = 27509.9, Elective delay = 14590
Gen 89/100: Best fitness = 27509.9, Elective delay = 14590
Gen 90/100: Best fitness = 27509.9, Elective delay = 14590
Gen 91/100: Best fitness = 27509.9, Elective delay = 14590
Gen 92/100: Best fitness = 27509.9, Elective delay = 14590
Gen 93/100: Best fitness = 27509.9, Elective delay = 14590
Gen 94/100: Best fitness = 27509.9, Elective delay = 14590
Gen 95/100: Best fitness = 27509.9, Elective delay = 14590
Gen 96/100: Best fitness = 27509.9, Elective delay = 14590
Gen 97/100: Best fitness = 27509.9, Elective delay = 14590
Gen 98/100: Best fitness = 27509.9, Elective delay = 14590
Gen 99/100: Best fitness = 27509.9, Elective delay = 14590
Gen 100/100: Best fitness = 27509.9, Elective delay = 14590
